index,image,true,v2,v3,ensemble,v2_correct,v3_correct,ensemble_correct
18,test/000019.jpg,321177,321177,321477,321177,True,False,True
316,test/000317.jpg,563732,563732,563733,563732,True,False,True
830,test/000831.jpg,473933,473933,413933,473933,True,False,True
1494,test/001495.jpg,893469,895469,895469,895469,False,False,False
1672,test/001673.jpg,468042,468042,468142,468042,True,False,True
1889,test/001890.jpg,776615,776615,776613,776615,True,False,True
2372,test/002373.jpg,812046,812040,812040,812040,False,False,False
2492,test/002493.jpg,266225,266223,266223,266223,False,False,False
2912,test/002913.jpg,100148,100148,106148,100148,True,False,True
2996,test/002997.jpg,638295,638295,038295,638295,True,False,True
3645,test/003646.jpg,744108,744108,744103,744108,True,False,True
4156,test/004157.jpg,042980,042584,042086,042584,False,False,False
4493,test/004494.jpg,843887,843887,803887,843887,True,False,True
4535,test/004536.jpg,838177,888177,838177,888177,False,True,False
4713,test/004714.jpg,901426,901426,901126,901426,True,False,True
5275,test/005276.jpg,368415,368413,368413,368413,False,False,False
5668,test/005669.jpg,566430,566430,566436,566430,True,False,True
8494,test/008495.jpg,026299,026299,024299,026299,True,False,True
8656,test/008657.jpg,197664,197664,197854,197664,True,False,True
8691,test/008692.jpg,186983,186989,186988,186989,False,False,False
8917,test/008918.jpg,436653,436653,436659,436653,True,False,True
9073,test/009074.jpg,390379,390349,390379,390349,False,True,False
9099,test/009100.jpg,716032,716012,716012,716012,False,False,False
9122,test/009123.jpg,073265,073265,073263,073265,True,False,True
9488,test/009489.jpg,524884,524884,524881,524884,True,False,True
9846,test/009847.jpg,673203,673205,673203,673205,False,True,False
9986,test/009987.jpg,962199,962199,962193,962199,True,False,True
